date,us_cape,change,month_over_month_pct,source_method,source_note
1893-04-01,17.10,0.20,1.20,OFFICIALDATA_SHILLER_MONTHLY,"Monthly Shiller PE/CAPE table from OfficialData, based on Robert Shiller and S&P 500 data."
1893-05-01,15.78,-1.32,-7.73,OFFICIALDATA_SHILLER_MONTHLY,"Monthly Shiller PE/CAPE table from OfficialData, based on Robert Shiller and S&P 500 data."
1893-06-01,15.42,-0.36,-2.31,OFFICIALDATA_SHILLER_MONTHLY,"Monthly Shiller PE/CAPE table from OfficialData, based on Robert Shiller and S&P 500 data."
1893-07-01,14.35,-1.07,-6.92,OFFICIALDATA_SHILLER_MONTHLY,"Monthly Shiller PE/CAPE table from OfficialData, based on Robert Shiller and S&P 500 data."
1893-08-01,14.59,0.24,1.66,OFFICIALDATA_SHILLER_MONTHLY,"Monthly Shiller PE/CAPE table from OfficialData, based on Robert Shiller and S&P 500 data."
1893-09-01,15.01,0.42,2.91,OFFICIALDATA_SHILLER_MONTHLY,"Monthly Shiller PE/CAPE table from OfficialData, based on Robert Shiller and S&P 500 data."
1893-10-01,15.27,0.26,1.73,OFFICIALDATA_SHILLER_MONTHLY,"Monthly Shiller PE/CAPE table from OfficialData, based on Robert Shiller and S&P 500 data."
1893-11-01,15.94,0.67,4.39,OFFICIALDATA_SHILLER_MONTHLY,"Monthly Shiller PE/CAPE table from OfficialData, based on Robert Shiller and S&P 500 data."
1893-12-01,15.61,-0.33,-2.07,OFFICIALDATA_SHILLER_MONTHLY,"Monthly Shiller PE/CAPE table from OfficialData, based on Robert Shiller and S&P 500 data."
1894-01-01,15.74,0.13,0.81,OFFICIALDATA_SHILLER_MONTHLY,"Monthly Shiller PE/CAPE table from OfficialData, based on Robert Shiller and S&P 500 data."
1894-02-01,16.20,0.46,2.94,OFFICIALDATA_SHILLER_MONTHLY,"Monthly Shiller PE/CAPE table from OfficialData, based on Robert Shiller and S&P 500 data."
1894-03-01,17.19,0.98,6.08,OFFICIALDATA_SHILLER_MONTHLY,"Monthly Shiller PE/CAPE table from OfficialData, based on Robert Shiller and S&P 500 data."
1894-04-01,17.43,0.25,1.44,OFFICIALDATA_SHILLER_MONTHLY,"Monthly Shiller PE/CAPE table from OfficialData, based on Robert Shiller and S&P 500 data."
1894-05-01,16.81,-0.63,-3.59,OFFICIALDATA_SHILLER_MONTHLY,"Monthly Shiller PE/CAPE table from OfficialData, based on Robert Shiller and S&P 500 data."
